	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
3HAD100	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3HAD120	0.6812305883142253	0.9999923034136551	0.00604820942656613	0.012101791549180056	0.02424594841749171	0.036472752132135314	0.17868674932440864	0.17867024255372604	0.17858756158006572	0.1784399367095133	0.033848113804933064	0.06773255230535132	0.13576504546550733	0.2043979212540867
3HAD121	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3HAD140	0.9659710309551574	0.999992507141775	0.005329847681303314	0.010661890781303909	0.021351145951698684	0.032105542244802596	0.11099149189608204	0.11097765362180725	0.11090369984217806	0.11076776776592848	0.04802032651559894	0.09607241127693868	0.19251969034470912	0.28984552900485616
3HAD141	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3HAD160	0.9659710309523433	0.999992507141787	0.005329847681303314	0.010661890781303909	0.02135114595169868	0.032105542244747265	0.11099149189608204	0.11097765362180725	0.11090369984217806	0.11076776776610449	0.04802032651559894	0.09607241127693868	0.19251969034470906	0.2898455290038961
3HAD161	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3HAD40	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3HAD60	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3HAD80	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3OAR100	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3OAR120	0.6812305883142253	0.9999923034136551	0.00604820942656613	0.012101791549180056	0.02424594841749171	0.036472752132135314	0.17868674932440864	0.17867024255372604	0.17858756158006572	0.1784399367095133	0.033848113804933064	0.06773255230535132	0.13576504546550733	0.2043979212540867
3OAR121	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3OAR140	0.6812305883074703	0.999992303413696	0.00604820942656613	0.012101791549180056	0.02424594841749171	0.036472752131760044	0.17868674932440864	0.17867024255372604	0.17858756158006572	0.17843993670968933	0.033848113804933064	0.06773255230535132	0.13576504546550733	0.204397921251782
3OAR141	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3OAR160	0.9659710309523433	0.999992507141787	0.005329847681303314	0.010661890781303909	0.02135114595169868	0.032105542244747265	0.11099149189608204	0.11097765362180725	0.11090369984217806	0.11076776776610449	0.04802032651559894	0.09607241127693868	0.19251969034470906	0.2898455290038961
3OAR161	0.9496286389236407	0.9999925074814042	0.006173659836075196	0.012348500949480418	0.02472392768824912	0.037154069467275334	0.13080779954318592	0.1307726656248989	0.13063049550221104	0.13039647570232857	0.04719641992018202	0.09442723286608057	0.18926612498251333	0.28493154640230706
3OAR40	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3OAR60	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
3OAR80	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.01618716468259297	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584677	0.10482090408985963	0.15776561880703086
